metric,tier,predictor,roi,n,beta,p,r_partial
NDI,experimental,dexterity_dominant,IOG_L,214,0.00035188977773846557,0.12053662498127962,0.1082461291087582
NDI,experimental,dexterity_dominant,IOG_R,214,0.0001550864233959457,0.46896052845569786,0.0506075798155864
NDI,experimental,dexterity_dominant,MOG_L,214,0.0006317418127759903,0.006248474967355467,0.1894799421321255
NDI,experimental,dexterity_dominant,MOG_R,214,0.00036951738762468585,0.11265651535825616,0.11059120148696473
NDI,experimental,dexterity_dominant,SOG_L,214,0.0008297569966655785,0.002667033778619996,0.2077481946282983
NDI,experimental,dexterity_dominant,SOG_R,214,0.000504170637394693,0.07514730042555529,0.12396141146950662
NDI,experimental,dexterity_nondominant,IOG_L,212,0.0002706333221646803,0.4216379567569597,0.056424950113658265
NDI,experimental,dexterity_nondominant,IOG_R,212,0.00025561155549952484,0.4154832876428067,0.05717500687134011
NDI,experimental,dexterity_nondominant,MOG_L,212,0.000886456831091439,0.00922064272616111,0.18145210709083207
NDI,experimental,dexterity_nondominant,MOG_R,212,0.0006581870848712917,0.053981348025084516,0.13479591657645812
NDI,experimental,dexterity_nondominant,SOG_L,212,0.0010521774881831055,0.009641759681182284,0.18040044844410263
NDI,experimental,dexterity_nondominant,SOG_R,212,0.0007297691408376711,0.08167099127575782,0.12189322876237928
ODI,experimental,dexterity_dominant,IOG_L,214,-0.0004102720919196649,0.07877717017227824,-0.12245862781319514
ODI,experimental,dexterity_dominant,IOG_R,214,-0.00033791146668837527,0.12468420471348504,-0.10705942542024156
ODI,experimental,dexterity_dominant,MOG_L,214,-0.00035101370339164626,0.1011971357297547,-0.11424226096004124
ODI,experimental,dexterity_dominant,MOG_R,214,-0.00030595341529540167,0.10827263980669521,-0.11195185754742765
ODI,experimental,dexterity_dominant,SOG_L,214,-0.0006349485144230158,0.04211730734534734,-0.14140442663659814
ODI,experimental,dexterity_dominant,SOG_R,214,-0.00045688108092092596,0.13046784093356362,-0.10545459275315601
ODI,experimental,dexterity_nondominant,IOG_L,212,-0.0006857662783599295,0.044922780995914395,-0.14022624159981933
ODI,experimental,dexterity_nondominant,IOG_R,212,-0.0005463683181626655,0.09303558962552284,-0.11761987723993572
ODI,experimental,dexterity_nondominant,MOG_L,212,-0.0007732690276470503,0.013434321371786304,-0.17241431600752857
ODI,experimental,dexterity_nondominant,MOG_R,212,-0.0005285400820516971,0.058577287961565215,-0.13232545534688528
ODI,experimental,dexterity_nondominant,SOG_L,212,-0.0008171625240104327,0.07531013224645189,-0.12449831530817138
ODI,experimental,dexterity_nondominant,SOG_R,212,-0.001001340367068661,0.024652686657202938,-0.1569096012825343
FWF,experimental,dexterity_dominant,IOG_L,214,-0.0011647892443260464,0.015222616885866425,-0.16850326194377852
FWF,experimental,dexterity_dominant,IOG_R,214,-0.001167753423047975,0.003334723828982122,-0.2031008349854402
FWF,experimental,dexterity_dominant,MOG_L,214,-0.0004907703100855038,0.19167733339392903,-0.09111063708684487
FWF,experimental,dexterity_dominant,MOG_R,214,-0.000701570689987164,0.06308941740362699,-0.12941880241058631
FWF,experimental,dexterity_dominant,SOG_L,214,-0.0006438117164919156,0.16703543526698603,-0.09640114155164257
FWF,experimental,dexterity_dominant,SOG_R,214,-0.0005471787026580559,0.25767863779688444,-0.0790275748993629
FWF,experimental,dexterity_nondominant,IOG_L,212,-0.0020757121889562386,0.0034298463076802336,-0.20348544928095988
FWF,experimental,dexterity_nondominant,IOG_R,212,-0.001560727634698442,0.008037709198432594,-0.18465216735063486
FWF,experimental,dexterity_nondominant,MOG_L,212,-0.0008313205591918405,0.13537546348833643,-0.1046454435085358
FWF,experimental,dexterity_nondominant,MOG_R,212,-0.0011151554561777482,0.045565225497696274,-0.13981234762123923
FWF,experimental,dexterity_nondominant,SOG_L,212,-0.0008612007683046738,0.21286723135516536,-0.08737262833028475
FWF,experimental,dexterity_nondominant,SOG_R,212,-0.0010865005816887083,0.1283005208856082,-0.10656885601792904
